,Wijkcode,Wijknaam,Gemnr,Gemnaam,Wijk,Jaar,% 75+,Gem GGZ Kosten,% Kostenmakers GGZ,% mannen,% vrouwen,% Nederlanders,% Surinamers,% Turken,% Marokkanen,% Ned Ant en Arubanen,% Ned Indie en Indonesiers,% Polen,% Overige herkomst,Gem Leeftijd,% Jong,% Volwassen,% Oudere (65+),% Wanbetalers ZVW,% Gestorven binnen kalenderjaar
13,WK051818,Waldeck,518,'s-Gravenhage,Wijk  18 Waldeck,2030,0.19107142857142878,217.43764999999985,0.01892857142857096,0.4907142857142861,0.5092857142857135,0.6121428571428584,0.04,0.02,0.02,0.052142857142857935,0.049999999999999996,0.029642857142857526,0.17321428571428577,49.62464285714286,0.1696428571428572,0.44785714285714207,0.40964285714285786,0.02749999999999997,0.02
256,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2016,0.05,136.056,0.04,0.5,0.5,0.58,0.11,0.07,0.05,0.02,0.03,0.01,0.14,37.0,0.29,0.6,0.11,0.02,0.01
0,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2017,0.04999999999999982,132.36900000000242,0.03714285714285648,0.5028571428571431,0.49571428571428555,0.5728571428571421,0.11,0.07285714285714295,0.05428571428571427,0.02,0.0257142857142858,0.0128571428571429,0.14285714285714413,37.444285714285684,0.28714285714285737,0.597142857142857,0.11285714285714477,0.02,0.01
1,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2018,0.051785714285714324,119.32501428571777,0.034642857142856975,0.5039285714285717,0.4939285714285715,0.5642857142857132,0.11,0.07500000000000018,0.05785714285714327,0.02,0.023571428571428577,0.013928571428571512,0.14785714285714313,37.82928571428579,0.2828571428571429,0.5949999999999998,0.11785714285714377,0.02,0.01
2,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2019,0.05357142857142838,106.28102857143313,0.032142857142856585,0.5050000000000003,0.492142857142857,0.5557142857142843,0.11,0.0771428571428574,0.06142857142857139,0.02,0.021428571428571352,0.015000000000000124,0.1528571428571439,38.21428571428578,0.27857142857142847,0.5928571428571425,0.12285714285714455,0.02,0.01
3,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2020,0.05535714285714288,93.23704285714484,0.029642857142857082,0.506071428571429,0.4903571428571425,0.5471428571428554,0.11,0.07928571428571463,0.06500000000000039,0.02,0.01928571428571413,0.016071428571428736,0.15785714285714292,38.59928571428577,0.274285714285714,0.5907142857142853,0.12785714285714356,0.02,0.01
4,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2021,0.05714285714285694,80.1930571428602,0.02714285714285669,0.5071428571428571,0.48857142857142843,0.53857142857143,0.11,0.08142857142857096,0.0685714285714285,0.02,0.017142857142857792,0.017142857142856904,0.1628571428571437,38.98428571428576,0.27000000000000135,0.588571428571429,0.13285714285714434,0.02,0.01
5,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2022,0.05892857142857144,67.14907142857555,0.02464285714285719,0.5082142857142857,0.48678571428571393,0.5300000000000011,0.11,0.08357142857142819,0.07214285714285751,0.02,0.015000000000000568,0.018214285714285516,0.1678571428571427,39.36928571428575,0.2657142857142869,0.5864285714285717,0.13785714285714334,0.02,0.01
6,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2023,0.0607142857142855,54.10508571428727,0.022142857142856798,0.5092857142857143,0.4849999999999999,0.5214285714285722,0.11,0.08571428571428541,0.07571428571428562,0.02,0.012857142857143344,0.01928571428571413,0.1728571428571435,39.75428571428574,0.26142857142857245,0.5842857142857145,0.14285714285714413,0.02,0.01
7,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2024,0.0625,41.061100000002625,0.019642857142856407,0.510357142857143,0.4832142857142854,0.5128571428571433,0.11,0.08785714285714263,0.07928571428571463,0.02,0.01071428571428612,0.02035714285714274,0.17785714285714427,40.139285714285734,0.257142857142858,0.5821428571428573,0.1478571428571449,0.02,0.01
8,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2025,0.06428571428571406,28.01711428571798,0.017142857142856904,0.5114285714285716,0.4814285714285713,0.5042857142857144,0.11,0.08999999999999986,0.08285714285714274,0.02,0.008571428571428896,0.021428571428571352,0.18285714285714327,40.524285714285725,0.25285714285714356,0.5800000000000001,0.1528571428571439,0.02,0.01
9,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2026,0.06607142857142856,14.973128571429697,0.014642857142856514,0.5125000000000002,0.4796428571428568,0.49571428571428555,0.11,0.09214285714285708,0.08642857142857174,0.02,0.006428571428571672,0.022499999999999964,0.18785714285714405,40.909285714285716,0.2485714285714291,0.5778571428571428,0.1578571428571447,0.02,0.01
10,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2027,0.06785714285714262,1.9291428571450524,0.012142857142857011,0.5135714285714288,0.47785714285714276,0.48714285714285666,0.11,0.0942857142857143,0.08999999999999986,0.02,0.004285714285714448,0.023571428571428577,0.19285714285714306,41.29428571428571,0.24428571428571466,0.5757142857142856,0.1628571428571437,0.02,0.01
11,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2028,0.06964285714285712,-11.114842857139593,0.00964285714285662,0.5146428571428574,0.47607142857142826,0.47857142857142776,0.11,0.09642857142857153,0.09357142857142886,0.02,0.002142857142857224,0.02464285714285719,0.19785714285714384,41.6792857142857,0.2400000000000002,0.5735714285714284,0.16785714285714448,0.02,0.01
12,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2029,0.07142857142857117,-24.158828571424237,0.0071428571428571175,0.515714285714286,0.4742857142857142,0.46999999999999886,0.11,0.09857142857142875,0.09714285714285698,0.02,0.0,0.0257142857142858,0.20285714285714285,42.06428571428569,0.23571428571428577,0.5714285714285712,0.1728571428571435,0.02,0.01
13,WK051840,Wateringse Veld,518,'s-Gravenhage,Wijk  40 Wateringse Veld,2030,0.07321428571428568,-37.20281428571252,0.004642857142856727,0.5167857142857146,0.4724999999999997,0.46142857142856997,0.11,0.10071428571428598,0.10071428571428598,0.02,-0.002142857142857224,0.026785714285714413,0.20785714285714363,42.44928571428579,0.23142857142857132,0.569285714285714,0.17785714285714427,0.02,0.01
223,WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2016,0.2,154.6351,0.04,0.46,0.55,0.63,0.01,0,0,0.01,0.07,0.01,0.29,52.08,0.19,0.43,0.39,0.0,0.02
0,WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2017,0.18714285714285595,144.12121428571845,0.03571428571428581,0.46285714285714263,0.5428571428571445,0.6285714285714281,0.011428571428571566,0.0,0.0,0.01,0.07,0.009999999999999787,0.2842857142857138,51.69142857142833,0.19285714285714306,0.4242857142857148,0.3885714285714279,0.0014285714285714286,0.021428571428571352
1,WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2018,0.17642857142857338,121.23460000000341,0.035357142857142865,0.4682142857142857,0.53857142857143,0.6214285714285719,0.012500000000000178,0.0,0.0,0.01,0.07,0.011785714285714288,0.2907142857142855,51.174999999999955,0.19678571428571434,0.42285714285714304,0.3864285714285707,0.0014285714285714286,0.01928571428571413
2,WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2019,0.16571428571428726,98.34798571428837,0.03500000000000003,0.47357142857142875,0.5342857142857156,0.6142857142857139,0.01357142857142879,0.0,0.0,0.01,0.07,0.013571428571428346,0.29714285714285715,50.65857142857135,0.20071428571428562,0.4214285714285717,0.38428571428571345,0.0014285714285714286,0.017142857142856904
3,WK051803,Westbroekpark en Duttendel,518,'s-Gravenhage,Wijk  03 Westbroekpark en Duttendel,2020,0.15500000000000114,75.46137142857333,0.0346428571428572,0.4789285714285718,0.5300000000000011,0.6071428571428559,0.014642857142857402,0.0,0.0,0.01,0.07,0.015357142857142847,0.3035714285714288,50.142142857142744,0.2046428571428569,0.4200000000000004,0.38214285714285623,0.0014285714285714286,0.01499999999999968
