WKC,GMN,Wijknaam,YEAR,AGE_MEAN,Person_in_Household_MEAN,Income_MEAN,Moving_Count_MEAN,Lifeevents_Count_MEAN,UniqueMed_Count_MEAN,ZVWKOSTENTOTAAL_MEAN,ZVWKHUISARTS_MEAN,ZVWKZIEKENHUIS_MEAN,ZVWKFARMACIE_MEAN,ZVWKOSTENPSYCHO_MEAN,AGE_SD,Person_in_Household_SD,Income_SD,Moving_Count_SD,Lifeevents_Count_SD,UniqueMed_Count_SD,ZVWKOSTENTOTAAL_SD,ZVWKHUISARTS_SD,ZVWKZIEKENHUIS_SD,ZVWKFARMACIE_SD,ZVWKOSTENPSYCHO_SD
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2016,45.1324180822543,2.88036733680814,27818.6797168099,1.01099676565716,2.64854802680566,4.87640092202528,2990.74836934584,153.275646674584,1664.73004097387,356.256116983373,283.515216668645,23.8697861712424,1.46832977149561,12824.2174561934,0.107620596118487,1.43757422898517,4.15051477867035,10626.7265093268,135.123572677086,8634.81207812438,1427.68316347858,3368.48118431328
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2017,45.0529187513443,2.95759463344514,28556.5875621592,1.01030807757265,2.61835170100623,4.89176695624452,3001.5380772623,159.077968483566,1614.69421649909,359.155147880285,285.67548362439,23.9717318711298,11.7171257672237,14534.319760764,0.108243634218569,1.33910513196162,4.18293828577244,10696.3144187153,148.521632979872,8605.96691551569,1465.03459331225,3322.08276375288
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2018,44.7040995096936,3.09540889526542,28792.6280221724,1.00768216476524,2.52510760401722,4.88815892382293,3012.11904027818,169.501173572877,1653.08491857433,335.540089829035,258.60869718922,24.081134725979,11.7200353199217,13347.1374155322,0.0911678707816062,1.04627032058199,4.20791353904265,10463.3672646966,162.769816208819,8821.52683958971,1139.83433060106,2607.78643078655
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2019,44.6340677782281,3.21801975427608,30288.4956961731,1.0065392637691,2.52613827993255,4.83164694894147,3060.20105230102,186.309443873473,1658.69314319973,349.206102546534,276.665087929656,24.1994667936508,11.7979137641413,24816.1390096262,0.0873177580936277,1.01422580084068,4.12433117014625,11189.0010272935,200.977578101565,9461.58890879575,1266.71678454354,3078.3515401791
WK051817,'s-Gravenhage, Wijk 17 Loosduinen,2020,44.8213263218582,2.88578088578089,30882.206624335,1.00677627193957,2.07459207459207,4.75931278098908,3025.36216686371,183.440890615324,1572.76095873445,344.764297697461,345.539297415977,24.2804969991368,1.39542247597501,14106.2265026042,0.0885531133343552,0.288458089138401,4.06388584766485,12194.6679428486,200.076690702898,10080.8596633535,1180.68959444316,4594.73373378064
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2011,49.9392199734031,2.49471064094586,25042.3975921633,1.00847703231416,2.62881144990666,5.3553726825577,3050.0810002208,158.109558238846,1655.56876306877,502.780251067589,371.524610289247,24.3618624963887,1.3671493853717,11920.2566216646,0.0999993432408125,1.8713836011229,4.31789329642483,7513.43719811326,133.673604142646,4678.17386039007,1540.64344394877,4651.0027508402
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2012,49.8268922182036,2.58617453862997,25102.764635064,1.0065554665307,2.58461057241164,5.29072419692074,3057.47164855474,148.106980322533,1828.20413966563,447.307006953691,283.239248909588,24.4080898414705,1.55273477046116,11454.7575253589,0.0859481975275458,1.5304954779616,4.33325299525909,8464.44031705146,125.672162069266,6887.75395257544,1480.22659845931,3181.83579262757
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2013,49.9500159980027,2.53704229349986,25138.2605571848,1.00862007551471,2.53136531365314,5.28845245963554,3315.96633591096,153.990887522604,1905.14548426763,425.22374755877,406.212376237624,24.4517780819602,1.34061568706846,14130.6508243862,0.099856326992215,1.09530049406554,4.34181393292275,10806.8526983585,132.836316523384,6697.82306990046,1481.63439874035,7241.84372940616
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2014,49.9485552413697,2.64423361992292,25814.6245743893,1.00652423286493,2.50163059590869,5.27726063829787,3254.2938925686,164.436996577088,1871.92743791421,419.915004733814,317.839668098115,24.5170384861254,2.79154588948778,13285.0070253954,0.0848476991894266,1.14738873059105,4.33449512960563,9380.59122472516,156.97663324235,7188.64349512098,2322.05705815534,3405.33003371549
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2015,50.2074210468064,3.28571428571429,25726.85158221,1.01074593538483,2.52279043913285,5.38976083707025,3497.94519036795,160.017892529675,1757.68520221764,435.856935105551,408.943399630629,24.697832302832,5.47880607589975,12374.2691848488,0.118829228816508,1.14813687710627,4.42039979991417,9621.80019003487,145.810146522077,5495.69354280585,3215.72983180284,4980.90142146657
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2016,49.9952418981218,2.77780922728559,26432.1115554921,1.01026029472524,2.61251061420889,5.37856023596645,3500.73766521983,163.739500525394,1808.84381646235,431.309917338004,401.868255390647,24.859860215235,2.3166992034263,13046.2533443498,0.109298813837494,1.26908165301945,4.40520288046293,10490.0413127276,145.014882219595,6087.40837663517,2942.17753158209,5036.07353797156
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2017,50.2072514117162,2.72807551766139,26863.1777367337,1.00925414364641,2.50913520097442,5.42990911594602,3485.08224511247,171.699796089973,1764.4193231028,413.993062154019,359.725998878845,24.9335489328833,2.46017140162936,12907.6955595855,0.100677978249114,1.04231605905911,4.45697734396555,8983.10581354556,160.383122743075,5904.59621476291,1342.47318028484,3788.247261053
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2018,50.3864855539726,2.7659509202454,27229.9660539475,1.00902502392999,2.50337423312883,5.47269748816891,3772.20204162331,182.081766909469,1948.37120707596,428.820156087409,403.908609781478,24.910285223494,2.67271856594066,12803.7281560495,0.103546908100527,1.07767704497522,4.47792040075984,10575.9915846918,180.515422012896,6827.17073797061,2083.33838353693,4613.33357885415
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2019,50.2673415821789,2.87914471645491,28528.1878406709,1.00972184715096,2.49054849705609,5.31905762030865,3596.37001716797,194.525855651696,1842.91830243098,418.233450075539,341.713542782585,24.9153684259027,2.82309943197104,14220.2251356508,0.107324133593652,0.990103185420893,4.31989358775842,10970.0204711443,213.845396162698,8506.46894881742,1660.55374263822,3423.13037933924
WK051818,'s-Gravenhage, Wijk 18 Waldeck,2020,50.3309322486468,2.54246575342466,29240.7095631641,1.00714526457701,2.07671232876712,5.21594024770729,3400.75705841972,193.189910070708,1677.25282831057,408.366677421569,356.059606645157,25.0013927486299,1.54474630800794,14148.0000919854,0.0881408816412968,0.2664997721507,4.19267867929034,11000.9730267648,204.911624086751,7921.01445307562,1733.14514508938,4235.25195973442
WK051819,'s-Gravenhage, Wijk 19 Vruchtenbuurt,2011,39.9670484682804,2.5846394984326,29223.8158077649,1.00679035960214,2.5121473354232,4.0187774122807,2061.44262045565,128.767742435997,1141.37112393328,303.036933669511,234.514656325739,22.8370838261469,1.24902437321447,13979.2092852794,0.0832838022871774,0.916254932736927,3.47114666203422,5423.6138948305,97.8762081239081,3857.53203298144,1157.80087543228,2621.22142035515
WK051819,'s-Gravenhage, Wijk 19 Vruchtenbuurt,2012,40.1641220450344,2.67296137339056,29029.297429743,1.00608108108108,2.59184549356223,3.90642380422692,1944.32250658601,119.16558246265,1118.25285616639,246.636363636364,218.484358473997,22.8481824226925,1.31784276776524,13335.536319231,0.0848710667541924,1.60517158311499,3.41008882199834,5382.56462903944,88.0512502885563,3756.80906439475,931.651248747948,2611.55934705132
WK051819,'s-Gravenhage, Wijk 19 Vruchtenbuurt,2013,40.113987730099,2.65729121592384,29504.2826279965,1.00657957471155,2.53396797922977,3.90411151788229,2106.37192481928,121.064781518279,1160.39659496479,238.156128098775,327.693968192771,22.7737053297036,1.36856714703218,13598.2107955314,0.088724408857714,1.1701710226932,3.45615912574979,11132.848637494,88.9807748233365,5185.69829788434,972.363669965999,9379.45382269912
WK051819,'s-Gravenhage, Wijk 19 Vruchtenbuurt,2014,39.9834905272356,2.62683114880493,30510.7655085648,1.00643896976484,2.54471858134156,3.88422074320577,2160.26473728974,131.099604728132,1284.81334846336,232.787911111111,219.419443394443,22.8573124656429,1.20302558415408,15925.7378217201,0.0877763410928256,1.05887479382003,3.50881617066335,8071.36275372275,112.583471103879,6878.95311358332,1020.8405268794,2418.92702470044
